PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
29,R.O.S.S.E.M.,125,65,37,227
30,VCP,28,12,9,49
32,ROEL,21,15,3,39
33,MAMA,115,66,27,208
34,Piratenpartij,233,133,76,442
35,GENOEG,119,54,40,213
,Totalen29095,15762,11957,56814
,13011 - Kanton Herentals
,
PartijNummer,Partijen,Grobbendonk,Herentals,Herenthout,Kasterlee,Lille,Olen,Vorselaar,Totalen
2,Groen,533,1623,404,861,908,576,440,5345
3,Vlaams Belang,525,1253,351,687,791,546,410,4563
7,OpenVld,1183,1710,555,1112,888,814,527,6789
12,sp.a,827,2722,531,846,744,973,537,7180
13,N-VA,3003,6615,2091,4635,4306,2933,1896,25479
15,CD&V,1464,4178,1866,4252,3306,2084,1337,18487
17,PVDA+,172,537,174,233,235,217,137,1705
29,R.O.S.S.E.M.,21,68,30,28,30,41,20,238
30,VCP,4,22,8,10,9,12,4,69
32,ROEL,15,34,8,16,9,12,13,107
33,MAMA,31,65,14,33,30,36,21,230
34,Piratenpartij,51,138,89,74,50,47,53,502
35,GENOEG,34,84,20,48,32,26,22,266
,Totalen7863,19049,6141,12835,11338,8317,5417,70960
,13014 - Kanton Hoogstraten
,
PartijNummer,Partijen,Baarle-Hertog,Hoogstraten,Merksplas,Rijkevorsel,Totalen
2,Groen,81,1012,492,475,2060,
3,Vlaams Belang,52,499,284,456,1291,
7,OpenVld,92,1512,922,885,3411,
12,sp.a,42,563,287,533,1425,
13,N-VA,287,3769,1927,3212,9195,
15,CD&V,327,3240,1435,1719,6721,
17,PVDA+,24,124,94,122,364,
29,R.O.S.S.E.M.,3,24,5,21,53,
30,VCP,0,8,1,4,13,
32,ROEL,5,6,8,6,25,
33,MAMA,3,25,17,19,64,
34,Piratenpartij,4,51,17,32,104,
35,GENOEG,1,29,19,25,74,
,Totalen921,10862,5508,7509,24800,
,11023 - Kanton Kapellen
,
PartijNummer,Partijen,Brasschaat,Kapellen,Schoten,Stabroek,Totalen
2,Groen,2037,1465,1932,695,6129,
3,Vlaams Belang,1937,1132,2042,1325,6436,
7,OpenVld,2322,3057,1718,1123,8220,
12,sp.a,1758,1449,2075,1339,6621,
13,N-VA,10652,7049,10260,5202,33163,
15,CD&V,4935,2374,3532,1905,12746,
17,PVDA+,649,447,655,350,2101,
29,R.O.S.S.E.M.,35,26,46,27,134,
30,VCP,15,15,9,5,44,
32,ROEL,25,24,18,16,83,
33,MAMA,71,39,89,58,257,
34,Piratenpartij,201,129,180,95,605,
35,GENOEG,72,51,83,70,276,
,Totalen24709,17257,22639,12210,76815,
,11024 - Kanton Kontich
,
PartijNummer,Partijen,Aartselaar,Boechout,Borsbeek,Edegem,Hove,Kontich,Lint,Mortsel,Totalen
2,Groen,718,1200,698,1636,721,1471,629,2961,10034,
3,Vlaams Belang,573,438,553,713,201,840,334,951,4603,
7,OpenVld,1223,787,449,1654,694,1648,635,1458,8548,
12,sp.a,746,644,555,1045,412,1006,452,1628,6488,
